[2026-03-29 20:18:00 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 20:19:30 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 20:19:30 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      towel       | 28.99 | 68.99 |
|       tree       | 24.93 | 28.01 |
|    vegetable     | 26.26 | 45.23 |
|    wall-brick    | 42.48 | 63.48 |
|  wall-concrete   |  2.26 |  2.27 |
|    wall-other    |  2.37 |  4.29 |
|    wall-panel    |  0.0  |  0.0  |
|    wall-stone    | 37.76 | 52.91 |
|    wall-tile     | 48.36 | 63.77 |
|    wall-wood     |  0.54 |  0.57 |
|   water-other    | 21.03 | 57.92 |
|    waterdrops    |  0.0  |  nan  |
|   window-blind   | 21.85 | 22.34 |
|   window-other   | 24.98 | 54.21 |
|       wood       |  2.31 |  4.56 |
+------------------+-------+-------+
[2026-03-29 20:19:30 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-29 20:19:30 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 37.11 | 20.26 | 34.88 |
+-------+-------+-------+
