[2026-02-05 14:57:21 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:39 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:55 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:01:59 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:02:06 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:01 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:04:08 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:51 CLIP_DINOiser] (train.py 181): INFO Training finished. Running evaluation...
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|       bird       | 55.75 | 85.97 |
|       cat        | 70.09 | 88.09 |
|       dog        | 61.61 | 81.86 |
|      horse       | 61.59 | 85.84 |
|      sheep       | 74.04 | 88.77 |
|       cow        | 65.82 | 81.47 |
|     elephant     | 80.95 | 92.07 |
|       bear       | 79.49 | 89.76 |
|      zebra       | 78.85 | 92.33 |
|     giraffe      | 48.35 | 88.02 |
|     backpack     |  8.06 | 56.84 |
|     umbrella     | 33.67 | 70.24 |
|     handbag      |  8.95 | 11.99 |
|       tie        |  1.06 | 51.73 |
|     suitcase     | 46.61 | 53.56 |
|     frisbee      | 13.43 | 52.22 |
|       skis       |  8.04 | 53.17 |
|    snowboard     |  14.4 | 61.64 |
|   sports ball    |  2.57 | 58.19 |
|       kite       | 30.31 | 50.81 |
|   baseball bat   |  5.83 |  9.06 |
|  baseball glove  | 23.16 | 49.08 |
|    skateboard    | 18.14 | 54.24 |
|    surfboard     | 26.09 | 73.54 |
|  tennis racket   |  6.71 | 48.77 |
|      bottle      | 24.79 | 53.09 |
|    wine glass    | 30.92 | 71.46 |
|       cup        | 17.02 | 24.23 |
|       fork       | 14.27 | 15.79 |
|      knife       |  4.99 |  6.57 |
|      spoon       | 18.34 | 31.97 |
|       bowl       | 12.35 |  16.1 |
|      banana      | 37.56 | 47.25 |
|      apple       | 11.44 | 12.79 |
|     sandwich     | 13.81 | 14.98 |
