[2026-04-15 15:38:13 CLIP_DINOiser_fast_intermediate_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO per class results:
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|       cage       |  3.49 |  3.8  |
|    cardboard     | 20.72 | 23.42 |
|      carpet      | 35.24 | 45.32 |
|  ceiling-other   | 26.57 | 41.71 |
|   ceiling-tile   |  8.08 | 22.98 |
|      cloth       |  0.33 |  1.18 |
|     clothes      |  3.29 | 27.11 |
|      clouds      | 33.56 | 37.69 |
|     counter      | 11.89 | 32.22 |
|     cupboard     |  3.39 | 14.49 |
|     curtain      | 30.69 |  35.2 |
|    desk-stuff    | 17.58 | 23.98 |
|       dirt       | 11.77 | 13.28 |
|    door-stuff    | 14.23 | 19.76 |
|      fence       | 24.88 |  40.6 |
|   floor-marble   |  2.12 |  3.02 |
|   floor-other    |  7.64 | 38.38 |
|   floor-stone    |  0.77 |  1.61 |
|    floor-tile    | 32.17 | 36.84 |
|    floor-wood    |  21.1 | 26.75 |
|      flower      | 29.47 | 39.31 |
|       fog        |  7.46 |  8.75 |
|    food-other    | 11.62 | 73.77 |
|      fruit       | 17.86 | 54.87 |
| furniture-other  |  5.14 |  8.25 |
|      grass       | 31.22 | 35.54 |
|      gravel      | 11.63 | 28.65 |
|   ground-other   |  2.29 |  35.9 |
|       hill       |  4.21 |  4.93 |
|      house       | 10.35 | 26.47 |
|      leaves      |  6.94 |  8.68 |
|      light       |  4.09 | 29.15 |
|       mat        |  0.47 |  2.72 |
|      metal       |  4.93 |  5.62 |
|   mirror-stuff   | 17.81 | 22.59 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 35.59 | 58.01 |
|       mud        |  0.02 |  0.06 |
|      napkin      |  8.51 | 18.68 |
|       net        | 11.99 | 23.73 |
|      paper       | 14.57 |  26.3 |
|     pavement     | 34.56 | 60.63 |
|      pillow      |  5.98 | 23.24 |
|   plant-other    |  4.38 |  5.65 |
|     plastic      |  3.69 |  3.94 |
|     platform     |  2.67 |  4.09 |
|   playingfield   |  0.07 |  0.07 |
|     railing      |  3.53 | 12.03 |
|     railroad     | 42.27 | 84.76 |
|      river       | 39.54 | 57.23 |
|       road       | 26.43 | 35.07 |
|       rock       | 22.35 | 26.98 |
|       roof       |  3.9  | 28.54 |
|       rug        | 15.05 |  18.9 |
|      salad       | 15.64 | 30.85 |
|       sand       | 39.34 |  45.2 |
|       sea        |  46.7 | 55.77 |
|      shelf       | 16.14 | 18.75 |
|    sky-other     | 47.08 | 57.22 |
|    skyscraper    | 22.23 | 32.94 |
|       snow       | 72.19 | 85.11 |
|   solid-other    |  0.09 |  0.3  |
|      stairs      |  8.58 | 13.23 |
|      stone       |  3.59 |  5.12 |
|      straw       |  9.92 |  11.7 |
| structural-other |  0.33 |  0.8  |
|      table       |  6.34 |  9.1  |
|       tent       |  5.82 | 10.65 |
|  textile-other   |  4.24 |  6.76 |
|      towel       |  6.7  | 42.03 |
|       tree       |  19.2 | 20.21 |
|    vegetable     | 15.35 | 38.29 |
|    wall-brick    |  25.3 | 35.57 |
|  wall-concrete   |  3.31 |  3.41 |
|    wall-other    |  6.6  |  12.3 |
|    wall-panel    |  1.82 |  2.55 |
|    wall-stone    | 20.48 | 29.45 |
|    wall-tile     | 39.71 | 53.72 |
|    wall-wood     |  7.91 |  8.4  |
|   water-other    |  13.2 | 46.23 |
|    waterdrops    |  0.06 |  0.55 |
|   window-blind   | 28.07 | 40.78 |
|   window-other   | 21.26 | 36.68 |
|       wood       |  5.3  | 14.92 |
+------------------+-------+-------+
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO Summary:
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 34.45 | 23.52 | 38.21 |
+-------+-------+-------+
