[2026-04-14 02:28:13 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 23.62 | 23.65 |
|     hot dog      |  0.0  |  0.0  |
|      pizza       | 11.12 | 16.61 |
|      donut       |  0.0  |  0.0  |
|       cake       | 18.42 | 34.32 |
|      chair       |  1.2  |  1.38 |
|      couch       | 28.22 | 37.79 |
|   potted plant   |  2.24 |  2.25 |
|       bed        | 36.71 |  46.5 |
|   dining table   | 15.21 | 18.23 |
|      toilet      | 33.19 | 94.23 |
|        tv        | 15.92 | 17.95 |
|      laptop      | 42.32 | 55.79 |
|      mouse       | 39.87 | 87.25 |
|      remote      |  6.6  | 52.13 |
|     keyboard     | 42.96 | 94.39 |
|    cell phone    | 22.62 | 29.15 |
|    microwave     | 22.25 | 23.63 |
|       oven       | 31.79 |  61.6 |
|     toaster      |  0.0  |  0.0  |
|       sink       | 21.47 |  41.3 |
|   refrigerator   | 24.81 | 29.16 |
|       book       | 37.83 | 43.38 |
|      clock       |  7.22 | 13.04 |
|       vase       | 58.39 |  76.2 |
|     scissors     |  0.0  |  0.0  |
|    teddy bear    |  0.63 |  0.64 |
|    hair drier    |  0.0  |  nan  |
|    toothbrush    |  0.0  |  0.0  |
|      banner      |  2.18 | 85.85 |
|     blanket      |  5.8  | 13.26 |
|      branch      |  1.38 |  3.46 |
|      bridge      | 24.87 | 27.32 |
|  building-other  | 22.33 | 45.45 |
|       bush       |  4.3  | 18.85 |
|     cabinet      | 29.59 | 47.17 |
|       cage       |  20.9 | 30.08 |
|    cardboard     |  1.61 |  2.36 |
|      carpet      | 52.13 | 60.84 |
|  ceiling-other   | 25.94 | 48.06 |
|   ceiling-tile   |  0.0  |  nan  |
|      cloth       |  0.0  |  0.0  |
