[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|    cell phone    | 32.35 | 57.03 |
|    microwave     | 23.57 |  31.0 |
|       oven       | 23.89 | 69.59 |
|     toaster      | 20.18 | 50.82 |
|       sink       | 30.59 | 53.72 |
|   refrigerator   |  50.0 | 62.56 |
|       book       | 27.33 | 32.25 |
|      clock       | 44.11 | 82.42 |
|       vase       | 29.81 | 53.78 |
|     scissors     | 50.83 | 61.21 |
|    teddy bear    | 62.42 | 74.41 |
|    hair drier    |  1.68 | 15.14 |
|    toothbrush    | 25.57 | 56.95 |
|      banner      |  2.12 | 74.17 |
|     blanket      |  5.96 | 18.41 |
|      branch      |  5.88 | 41.14 |
|      bridge      | 23.39 | 39.42 |
|  building-other  |  30.6 | 55.18 |
|       bush       | 11.85 | 33.96 |
|     cabinet      | 25.04 | 35.79 |
|       cage       |  5.62 |  6.78 |
|    cardboard     | 22.22 | 26.26 |
|      carpet      |  39.7 | 53.44 |
|  ceiling-other   | 28.29 | 43.26 |
|   ceiling-tile   |  7.46 | 23.91 |
|      cloth       |  0.46 |  1.53 |
|     clothes      |  4.07 | 28.14 |
|      clouds      | 30.53 | 34.33 |
|     counter      | 10.15 |  33.7 |
|     cupboard     |  4.42 | 20.52 |
|     curtain      | 32.76 | 39.83 |
|    desk-stuff    | 22.82 | 38.18 |
|       dirt       | 15.55 | 17.79 |
|    door-stuff    |  15.0 | 20.77 |
|      fence       |  26.7 | 50.38 |
|   floor-marble   |  5.28 |  9.18 |
|   floor-other    |  9.1  | 39.31 |
